numero_processo,nome_juiz,sentimento_medio,sentimento_mediano,qtd_movimentos,genero_juiz
00505992320218060176,,3.0,4.0,6,Indeterminado
00506014620218060126,Francisco Suelho Marques da Silva,2.0344827586206895,1.0,29,Masculino
00506076020208060038,Syl,2.0,1.0,18,Indeterminado
00506099520208060081,Maria do Livramento Alves dos Santos Oliveira,1.4038461538461537,1.0,52,Feminino
00506256620218060161,Sergio Luiz de Mesquita Souza,1.975,1.0,40,Masculino
00506334520208060107,Wes,1.736842105263158,1.0,19,Masculino
00506358420208060084,,2.375,2.0,8,Indeterminado
00506373420218060144,,2.5,2.5,4,Indeterminado
00506572920218060175,Jose Auricélio Holanda Nogueira,1.9322033898305084,1.0,59,Masculino
00506630820218060055,Francisco Hilton Domingos de Luna Filho,1.6808510638297873,1.0,47,Masculino
00506649420218060086,,3.111111111111111,4.0,9,Indeterminado
00506754320208060124,Diogo Schenatto Irion,1.6923076923076923,1.0,13,Masculino
00506835120218060070,Fernando Antonio Ribeiro de Carvalho Junior,2.25,1.0,56,Masculino
00506878920208060178,José Cleber Moura do Nascimento,1.9230769230769231,1.0,13,Masculino
00507026420218060100,Raimundo Nunes da Mata,2.1944444444444446,1.0,36,Masculino
00507055920218060119,Antônio Iranilson Soares de Moura,2.0428571428571427,1.0,70,Indeterminado
00507202920218060054,José de Alencar Lopes Vidal Gondim,1.7875,1.0,80,Masculino
00507252920218060126,,1.75,1.0,4,Indeterminado
00507261420218060126,,2.2,1.0,5,Indeterminado
00507495820218060158,,2.4285714285714284,3.0,7,Indeterminado
00507541020218060052,Francisco Mirancleide Basilio Cavalcante,1.6341463414634145,1.0,41,Masculino
